code,date,datetime_base,score_base,vol_ratio_20_base,vol_ratio_slot_base,datetime_best,score_best,vol_ratio_20_best,vol_ratio_slot_best,entry_state,shift_minutes_best_minus_base
6400,2026-02-19,2026-02-19 14:50:00,1.9719215125496143,3.3251990752632934,17.53386222910217,2026-02-19 14:50:00,1.9719215125496143,3.3251990752632934,17.53386222910217,both,0.0
9150,2026-02-19,2026-02-19 14:16:00,1.442996919083536,3.408388279390441,4.793750961982453,,,,,base_only,
55550,2026-02-19,2026-02-19 14:42:00,1.3422991116291392,3.2311049480258416,4.385212418300654,,,,,base_only,
66570,2026-02-19,2026-02-19 11:22:00,1.6990379286514838,9.804417889361453,4.196714289313881,2026-02-19 11:26:00,2.045125391031363,6.6608112322507145,14.564406590959695,both,4.0
86520,2026-02-19,2026-02-19 10:08:00,2.01055311300622,7.172546093999786,9.588501508548442,2026-02-19 10:08:00,2.01055311300622,7.172546093999786,9.588501508548442,both,0.0
196170,2026-02-19,2026-02-19 10:01:00,2.0970591792499857,10.115616764430843,11.040081647801076,2026-02-19 10:01:00,2.0970591792499857,10.115616764430843,11.040081647801076,both,0.0
660,2026-02-20,2026-02-20 10:33:00,1.8819082719065952,10.937327920108263,6.1830192263047925,2026-02-20 10:33:00,1.8819082719065952,10.937327920108263,6.1830192263047925,both,0.0
35720,2026-02-20,2026-02-20 09:53:00,1.3447670096160715,3.167294213606229,4.223686540358687,,,,,base_only,
35420,2026-02-23,2026-02-23 09:26:00,1.6098481939121871,4.468652584431515,6.902857937556498,,,,,base_only,
86520,2026-02-23,2026-02-23 10:38:00,1.390032301681756,3.068938405109475,4.981516408902301,,,,,base_only,
196170,2026-02-23,2026-02-23 10:15:00,1.6907242879421502,5.662310402558784,6.985203452527744,,,,,base_only,
9150,2026-02-24,2026-02-24 11:15:00,1.56741486243858,3.418917884747838,7.879188712522046,,,,,base_only,
66570,2026-02-24,2026-02-24 12:51:00,1.2239502243286775,3.1346665353167174,3.076417356330729,,,,,base_only,
3670,2026-02-25,2026-02-25 11:34:00,1.6415804443910684,3.023008034094509,9.8758231420508,,,,,base_only,
6400,2026-02-25,2026-02-25 13:15:00,2.242788416794593,10.249428086488082,15.885851538373556,2026-02-25 13:15:00,2.242788416794593,10.249428086488082,15.885851538373556,both,0.0
51910,2026-02-25,2026-02-25 10:40:00,1.405025563032976,3.3408492335676527,3.948405589394482,2026-02-25 11:07:00,1.8743343922619944,4.0892170435317645,10.579433301496335,both,27.0
86520,2026-02-25,2026-02-25 13:49:00,2.3121890780821603,3.960803148463604,34.24244234675589,2026-02-25 13:49:00,2.3121890780821603,3.960803148463604,34.24244234675589,both,0.0
660,2026-02-26,2026-02-26 12:27:00,1.3311709441125386,4.603170003766915,3.300232674090078,,,,,base_only,
5380,2026-02-26,2026-02-26 11:15:00,1.4400930725632952,5.068762278978389,4.063504063504063,2026-02-26 14:01:00,1.9725537141396623,3.4340717761405,16.92957572767637,both,166.0
270,2026-02-27,2026-02-27 14:09:00,1.7601090887542592,5.55371185340163,7.146684350132626,,,,,base_only,
5380,2026-02-27,2026-02-27 11:51:00,2.6665159646516363,8.010607766919751,40.29162403157433,2026-02-27 11:51:00,2.6665159646516363,8.010607766919751,40.29162403157433,both,0.0
6400,2026-02-27,2026-02-27 13:47:00,2.2983361840303957,13.231351063056076,15.236739251814628,2026-02-27 13:47:00,2.2983361840303957,13.231351063056076,15.236739251814628,both,0.0
35720,2026-02-27,2026-02-27 14:09:00,1.3729490007826386,3.048225301038608,5.04567103803745,,,,,base_only,
86520,2026-02-27,2026-02-27 13:33:00,1.686069165262014,8.460154998201498,4.7187568395710215,,,,,base_only,
